                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4485,                 1.8657,                 1.2257,                0.26297,                0.42976,                0.25652,                 0.1404,                 1.5202,                 2.3036,                 1.3131,              0.0011708,              0.0011708,              0.0011708
                     35,                  1.403,                 1.7577,                 1.2147,                0.25827,                0.36479,                 0.2343,                0.12839,                 1.5125,                 2.4903,                 1.3214,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.3872,                 1.8136,                  1.186,                0.24634,                0.36521,                0.22769,                0.12284,                 1.5357,                 2.4276,                 1.3051,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.3697,                 1.8248,                 1.1907,                0.28124,                0.44144,                0.26853,                0.14883,                  1.492,                  2.439,                 1.2992,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.4053,                  1.788,                 1.2182,                0.26366,                0.39917,                 0.2503,                0.13727,                 1.5029,                 2.7727,                 1.3026,              0.0011609,              0.0011609,              0.0011609
                     39,                 1.4033,                 1.8736,                  1.206,                0.20505,                0.41179,                0.20731,                0.11035,                 1.4949,                 2.7698,                 1.2948,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.3709,                 1.8277,                 1.1873,                 0.3001,                0.35655,                 0.2458,                 0.1399,                 1.4642,                 2.3019,                 1.2905,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.3837,                 1.8001,                 1.1812,                0.51722,                0.35075,                0.25782,                0.14797,                 1.5118,                 2.2028,                 1.3072,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.3762,                 1.8257,                  1.208,                0.24985,                0.39777,                0.24541,                0.12909,                 1.5767,                 2.4053,                 1.3514,               0.001151,               0.001151,               0.001151
                     43,                 1.3747,                 1.8042,                 1.1819,                0.27201,                0.38727,                0.23599,                0.12471,                 1.5612,                 3.0575,                 1.3597,              0.0011485,              0.0011485,              0.0011485
                     44,                  1.367,                 1.7945,                 1.1807,                0.26489,                0.36768,                0.22832,                 0.1188,                 1.5395,                 2.5812,                 1.3319,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.3424,                 1.7699,                  1.166,                0.23524,                0.42747,                0.25028,                0.14478,                 1.4928,                 2.2776,                 1.3081,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.3559,                 1.7834,                 1.1939,                0.28923,                0.37104,                0.24656,                0.13245,                 1.5661,                 2.2302,                 1.3185,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.3655,                 1.7606,                 1.1795,                0.30007,                0.34806,                0.22796,                0.12828,                 1.4926,                  2.377,                  1.293,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.3518,                 1.7285,                  1.175,                0.27331,                0.40933,                0.23162,                0.12981,                 1.5366,                  2.292,                 1.3238,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.3676,                 1.7794,                 1.2021,                0.24865,                0.39806,                0.22298,                0.12617,                 1.5203,                 2.3568,                 1.3188,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.3431,                 1.7955,                 1.1883,                0.28218,                0.32761,                0.21647,                0.12318,                 1.5049,                 2.3472,                 1.3215,              0.0011312,              0.0011312,              0.0011312
                     51,                 1.3208,                 1.7196,                 1.1782,                0.27176,                0.38852,                0.25291,                0.14776,                 1.5348,                 2.3266,                 1.3355,              0.0011287,              0.0011287,              0.0011287
                     52,                 1.3761,                 1.7522,                 1.1999,                0.25046,                0.39626,                0.23461,                 0.1307,                 1.4999,                 2.3356,                 1.3202,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.3147,                 1.6358,                 1.1631,                0.31725,                0.35971,                0.26642,                0.15665,                 1.4827,                 2.2999,                 1.3075,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.3413,                 1.6508,                  1.176,                0.23611,                 0.4102,                 0.2636,                0.15708,                 1.5012,                 2.2258,                 1.3006,              0.0011213,              0.0011213,              0.0011213
                     55,                 1.3253,                 1.6744,                 1.1562,                 0.2406,                0.31827,                0.20786,                0.11494,                 1.6025,                 2.5626,                 1.3521,              0.0011188,              0.0011188,              0.0011188
                     56,                 1.3244,                 1.7305,                 1.1726,                0.30565,                0.36493,                0.24436,                0.14372,                 1.5307,                 2.2194,                 1.3076,              0.0011164,              0.0011164,              0.0011164
                     57,                 1.3408,                 1.7018,                   1.17,                0.24545,                0.39672,                0.22109,                0.12567,                 1.5114,                 2.4296,                 1.3236,              0.0011139,              0.0011139,              0.0011139
                     58,                 1.3395,                 1.6634,                 1.1778,                0.22321,                0.35761,                0.21231,                0.12405,                 1.5551,                 2.6822,                 1.3519,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.3185,                 1.6512,                 1.1699,                0.26721,                0.42301,                 0.2434,                0.13681,                 1.5045,                  2.938,                 1.3201,              0.0011089,              0.0011089,              0.0011089
                     60,                 1.3518,                 1.6885,                 1.1783,                0.30862,                0.34112,                0.24763,                0.13214,                 1.5548,                 2.5317,                 1.3408,              0.0011065,              0.0011065,              0.0011065
                     61,                 1.3282,                 1.7184,                 1.1694,                0.23054,                0.40254,                0.25217,                0.14062,                 1.5606,                 2.3197,                 1.3558,               0.001104,               0.001104,               0.001104
                     62,                 1.3021,                 1.6437,                 1.1501,                0.25879,                0.40622,                0.24965,                0.13629,                 1.5343,                  2.262,                 1.3149,              0.0011015,              0.0011015,              0.0011015
                     63,                  1.303,                 1.6864,                 1.1564,                0.28507,                0.34223,                0.27268,                0.15293,                 1.5132,                 2.2405,                 1.2955,               0.001099,               0.001099,               0.001099
                     64,                 1.3014,                 1.6407,                 1.1715,                0.23357,                0.36145,                0.25547,                0.14873,                 1.5374,                 2.2145,                 1.3579,              0.0010965,              0.0010965,              0.0010965
                     65,                 1.3103,                 1.6595,                 1.1723,                0.28188,                0.38461,                0.27207,                0.15159,                 1.5466,                 2.1501,                  1.349,              0.0010941,              0.0010941,              0.0010941
                     66,                 1.3038,                 1.6111,                 1.1472,                0.23735,                  0.422,                0.27899,                0.15752,                 1.5563,                  2.226,                 1.3697,              0.0010916,              0.0010916,              0.0010916
                     67,                 1.3107,                 1.6189,                 1.1563,                0.26958,                0.34802,                0.25836,                0.14279,                 1.5407,                 2.1995,                 1.3428,              0.0010891,              0.0010891,              0.0010891
                     68,                 1.2837,                 1.5764,                 1.1404,                0.35276,                0.35018,                0.27227,                0.14553,                 1.5368,                  2.308,                 1.3573,              0.0010866,              0.0010866,              0.0010866
                     69,                 1.2745,                 1.6076,                 1.1712,                0.25918,                0.41622,                0.25675,                0.14254,                 1.5511,                 2.2936,                 1.3528,              0.0010842,              0.0010842,              0.0010842
                     70,                 1.3068,                 1.5892,                 1.1748,                0.22572,                  0.424,                0.27796,                0.16392,                 1.5391,                 2.2483,                 1.3215,              0.0010817,              0.0010817,              0.0010817
                     71,                  1.278,                 1.6313,                 1.1337,                0.22781,                0.39097,                0.26283,                0.14976,                 1.5402,                 2.3419,                 1.3445,              0.0010792,              0.0010792,              0.0010792
                     72,                 1.2649,                 1.5661,                  1.156,                0.23119,                0.44114,                0.23823,                0.12816,                  1.561,                 2.4131,                 1.3596,              0.0010768,              0.0010768,              0.0010768
                     73,                 1.2738,                 1.5621,                 1.1501,                0.27671,                0.36888,                0.24734,                0.13697,                 1.5434,                  2.261,                 1.3207,              0.0010743,              0.0010743,              0.0010743
                     74,                 1.2883,                 1.5688,                 1.1312,                 0.2299,                 0.4169,                  0.239,                0.13208,                 1.5864,                 2.2038,                 1.3505,              0.0010718,              0.0010718,              0.0010718
